"","GS.Adjusted"
"1116",118.075119
"1117",116.832115
"1118",118.55452
"1119",120.676506
"1120",122.105934
"1121",121.724174
"1122",119.726509
"1123",120.827438
"1124",121.839577
"1125",119.983978
"1126",120.712029
"1127",119.433533
"1128",117.515762
"1129",116.228394
"1130",116.050827
"1131",114.763435
"1132",117.666695
"1133",118.163895
"1134",121.324631
"1135",119.415749
"1136",118.874161
"1137",119.868591
"1138",119.042854
"1139",117.213913
"1140",115.695663
"1141",115.349442
"1142",115.322769
"1143",115.562523
"1144",114.825592
"1145",114.079803
"1146",117.86203
"1147",120.374649
"1148",120.294731
"1149",121.502228
"1150",122.168098
"1151",119.611099
"1152",120.605545
"1153",119.833031
"1154",119.105011
"1155",116.512489
"1156",117.267151
"1157",112.073242
"1158",111.140999
"1159",104.464378
"1160",108.96579
"1161",97.965317
"1162",104.855034
"1163",103.407845
"1164",105.769508
"1165",103.762978
"1166",104.100357
"1167",100.451279
"1168",99.226089
"1169",94.564857
"1170",94.875595
"1171",97.938675
"1172",97.5214
"1173",99.217209
"1174",103.052704
"1175",102.5718
"1176",103.497948
"1177",99.882401
"1178",95.340652
"1179",93.114334
"1180",96.48056
"1181",93.31916
"1182",91.057198
"1183",91.653839
"1184",92.695755
"1185",93.096512
"1186",96.15107
"1187",95.723579
"1188",93.336937
"1189",91.377777
"1190",87.147743
"1191",83.692474
"1192",84.761101
"1193",88.287598
"1194",88.65274
"1195",85.776329
"1196",88.937729
"1197",84.200066
"1198",80.219368
"1199",84.226776
"1200",83.968521
"1201",87.210091
"1202",82.543686
"1203",85.61602
"1204",86.114723
"1205",88.26091
"1206",85.624924
"1207",86.141441
"1208",86.292824
"1209",91.057198
"1210",89.756996
"1211",89.819336
"1212",90.914696
"1213",92.597824
"1214",89.445313
"1215",94.690559
"1216",103.658241
"1217",103.177353
"1218",97.558098
"1219",92.205978
"1220",94.512459
"1221",95.892799
"1222",93.541771
"1223",94.013763
"1224",96.694275
"1225",88.759613
"1226",88.608223
"1227",90.531799
"1228",88.421219
"1229",88.830841
"1230",85.135109
"1231",82.240883
"1232",81.849068
"1233",81.305817
"1234",79.613823
"1235",78.269104
"1236",79.03495
"1237",80.842743
"1238",79.394493
"1239",85.69709
"1240",84.418686
"1241",86.939705
"1242",89.237228
"1243",90.435211
"1244",93.984291
"1245",89.326637
"1246",90.694435
"1247",87.637032
"1248",84.964005
"1249",83.363792
"1250",82.156914
"1251",80.547722
"1252",78.402191
"1253",81.334427
"1254",82.246315
"1255",84.409744
"1256",83.846527
"1257",82.156914
"1258",80.565628
"1259",81.361252
"1260",80.842743
"1261",85.250092
"1262",84.695816
"1263",84.552788
"1264",83.515762
"1265",84.651108
"1266",87.90519
"1267",89.183586
"1268",90.479897
"1269",88.468414
"1270",87.324112
"1271",93.251213
"1272",96.263931
"1273",97.211563
"1274",96.719872
"1275",97.327782
"1276",96.791359
"1277",97.050652
"1278",99.920319
"1279",98.096603
"1280",99.65213
"1281",101.422195
"1282",101.368553
"1283",105.069672
"1284",104.944496
"1285",103.683983
"1286",103.835945
"1287",103.594604
"1288",102.021194
"1289",102.387711
"1290",100.903717
"1291",101.171883
"1292",102.575447
"1293",103.621414
"1294",104.265091
"1295",102.235748
"1296",103.523056
"1297",103.585655
"1298",103.907471
"1299",105.010429
"1300",103.243927
"1301",108.615074
"1302",107.565926
"1303",106.373352
"1304",101.925804
"1305",104.373764
"1306",105.064194
"1307",105.171799
"1308",104.902779
"1309",111.672737
"1310",107.933571
"1311",110.345642
"1312",110.229095
"1313",111.457542
"1314",112.999832
"1315",112.972939
"1316",111.852066
"1317",113.143326
"1318",114.838036
"1319",113.277809
"1320",113.30471
"1321",110.973328
"1322",111.520309
"1323",111.995544
"1324",110.031815
"1325",107.565926
"1326",105.808456
"1327",104.929688
"1328",102.723862
"1329",103.952324
"1330",107.951515
"1331",103.199112
"1332",105.566353
"1333",104.78624
"1334",103.414314
"1335",101.863052
"1336",100.822906
"1337",100.204185
"1338",102.320343
"1339",102.203804
"1340",102.723862
"1341",102.58934
"1342",103.252907
"1343",103.414314
"1344",102.015472
"1345",100.006897
"1346",97.72934
"1347",98.670868
"1348",98.070099
"1349",96.204994
"1350",95.33519
"1351",91.57811
"1352",89.461937
"1353",89.551605
"1354",88.054123
"1355",87.049866
"1356",85.62413
"1357",86.538765
"1358",87.453369
"1359",87.91069
"1360",86.852577
"1361",86.709129
"1362",88.168671
"1363",85.240532
"1364",86.222603
"1365",83.465652
"1366",81.98806
"1367",83.078224
"1368",85.555885
"1369",84.690941
"1370",85.177498
"1371",83.609802
"1372",84.727005
"1373",83.537735
"1374",84.528755
"1375",86.1866
"1376",84.357605
"1377",86.826241
"1378",86.988426
"1379",84.600845
"1380",84.357605
"1381",82.186272
"1382",82.015099
"1383",84.033241
"1384",84.231438
"1385",86.366776
"1386",87.511002
"1387",88.835411
"1388",86.420815
"1389",86.015388
"1390",85.114426
"1391",84.916199
"1392",85.709038
"1393",84.708969
"1394",87.781281
"1395",88.0065
"1396",88.276802
"1397",86.952393
"1398",85.591934
"1399",84.835114
"1400",83.934143
"1401",85.114426
"1402",86.456856
"1403",88.348885
"1404",91.574341
"1405",90.889618
"1406",90.907639
"1407",90.177856
"1408",88.12365
"1409",90.979706
"1410",91.916695
"1411",93.0159
"1412",92.349174
"1413",93.34024
"1414",92.817688
"1415",93.349251
"1416",93.03392
"1417",92.916786
"1418",93.241127
"1419",93.34024
"1420",94.853874
"1421",94.8899
"1422",94.304276
"1423",93.772728
"1424",94.565575
"1425",94.709717
"1426",95.044533
"1427",95.497002
"1428",94.764015
"1429",95.668938
"1430",96.293327
"1431",99.487709
"1432",102.745468
"1433",105.270218
"1434",103.777084
"1435",105.596016
"1436",106.998627
"1437",109.197601
"1438",109.822014
"1439",108.500816
"1440",108.482681
"1441",107.704468
"1442",106.446617
"1443",105.623138
"1444",105.514534
"1445",102.709274
"1446",102.329201
"1447",104.274796
"1448",102.872177
"1449",105.749832
"1450",106.102745
"1451",106.700012
"1452",108.500816
"1453",107.966911
"1454",108.102646
"1455",108.25647
"1456",108.663704
"1457",110.39209
"1458",108.772285
"1459",112.663475
"1460",111.505173
"1461",113.043541
"1462",113.251678
"1463",111.867149
"1464",111.097939
"1465",107.686363
"1466",108.383156
"1467",108.337929
"1468",108.084541
"1469",110.754066
"1470",112.980209
"1471",111.532318
"1472",112.283409
"1473",114.247108
"1474",106.763351
"1475",104.311005
"1476",105.107353
"1477",106.093697
"1478",105.396904
"1479",103.378906
"1480",104.464806
"1481",104.82679
